text;label
biasanya suruh pilih bahasa dulu;0
saya 3 kedai makanan dan minuman juga tutup semua kak  saya jual semua both sekalian perabotannya  daripada nombok terus buat bayar karyawan dan lapak  ;-1
beli ditoko oren yg mana ka;0
kk lagi merintis usaha fashion semoga bisa jualan aktif online dan offline aamiin;1
"adk ku jg baru beli 2minggu lalu redmi note 14 5g di official nya kok aman jaya ori
sbnernya pertama x pesen hp di online agak degdeg jg alhamdulillah amanah";1
infonya sampai sekarang belum direfund;-1
aku juga ngalamin mas;0
mahal ga sih 18jt internal berapa itu kak;0
contoh orang introvert gini gak mau beli langsung ke toko kalo ke toko kan enak bisa nanya² lebih;1
kasus redmi 12 kw banyak padahal;-1
itu harga bulan berapa  lagian ini pelaku kurir nya bukan si penjual kocak;1
"aku dah 3x beli hp online semua di atas harga 25 alhamdullillah aman sampe rumah gak ada cacat ku pake dah taunan juga asal beli toko official nya box selalu ada label sablon merk dan shopee bukan stiker
kalo beli di toko non official ya harus jeli liat review orang2 di ratingnya";1
nah bener gw yang 3x beli hape di officialstoresamsung 1x redmi 2x wkwkpacking an ga gitu;1
betul kk;1
bener kak suamiku udah pengalaman jadi engenering sertifikat banyak nglamar kemaren interviuw lolos tes ap aja lolos karna umurnya 40 ngk di trima;1
iya ka bener g jelas banget aturannya;1
aman aja ka selama beli di offcial store;1
baguss tok  perlu ditingkatkan ;1
aku alhamdulillah beli hp samsung  sama vivo d ofs nya bnr kak  udah 3x mngkin beli online  bismillah ajaa ;1
betul bngt corona masih aman;1
instan itu semacem di krim sma gojek grab beli hri ini dtng hri ini juga;1
bisa jadi ulah kompetitor;1
dus memang segel bang yg di atas nya yang bawah kita tidak tau segel apa bekas buka  lagian ketika kakaknya unboxing segel atau lakban merah di bubble wrap nya tidak ada sama sekali coba cek oficial store redmi rata² yg unboxing hp baru nya pakai segel merah di bubble wrap nya;1
pindah ajah lazad4;0
bener semakin banyaknyg dagang pembelinya turun drastisd karnakan banyak pengangguran sempitnya lapangan kerja itu permasalahanya;1
harus 2 kak di online in sama jaga dilapak juga lapak dirumah aja buat ngurangin biaya sewa;1
saya corona malah gacor sebulan 20juta bersih cuma jualan skincare dr rumah;1
oalaahh tak kira punyaq ajaada pencuri retur dengan barang bekas tapi banding ga pernah berhasilada lebih 1jt totalnya tp yah tetep ga bisa menang bandingudah sepi malah rugimudah2an selalu dipancarkan buat semua2tetep semangat ;1
koko;0
nyari dimna guru mau dong siapa tau rame;1
sibuk kerja pas libur males keluar sampe di tokonya barang belum tentu ada blom klo ketemu sales brand lain yang maksa  toh kemarin habis beli hp online di toko resminya aman plus lebih murah 300 rb;1
itu yg divideo bukan redmi 13x tapi hp referbish;0
maaf kalo salahkekinian sulit bertahan lama max 3 bulan sdh bagus harus up date menu terus main d kekinian;1
amiin ya allah makasih kaka;1
biasanya kayak gini ada kesalahan dari pihak store nya kadang juga emang ada kurir yang nuker hp nya gw beli hp di xiaomi official store shopee paket sampe dengan aman dan no kendala;1
poco c71;0
emang ngeri;-1
setuju ihhhhh;1
tahun ini;0
o gt mungkin kayak pas beli baju ada proteksi kerusakan yg rp500 itu y tp kalo gadget lebih mahal;1
gak lah ip 16 pro cuma 12 jt second pun gk masuk akal ;1
bener bangettt;1
gk bisa lah unit dituker hp kw itu;1
tiktok kbanyakan aturan;1
setuju;1
pasti mbk enem didukung  karena jg sm kita seperti itu selalu ada pembatasan;1
miris nya live gk diksh penonton ;1
demo yok;1
iya kan semangat para seller;1
mana ada pasaran iphone 16 pro second ibox masih di harga 17 jutaan sedangkan second inter 14 jutaan;0
aman dongs walau agak dagdigdug;1
dari 41 anjlok ke 34 gak mau harus bicara apa;0
collins official store miminya jg ramah bangeet;1
bukan cm di situ bang kami di makasar jg begitu;0
daridulu banyak frenchise yg gulung tikar juga pemikik frenchisenya sih dah untung hhehe;1
tinggal di retur doang selesai ;1
beda sejuta tp lebih aman;1
saran sih klo tetep mau beli hp mahal tapi malas keluar coba cari nama toko hp besar dekat rumah nah beli di toko itu dan pilih pengiriman instanhari itu juga sampe tapi klo nekat gas lah kadang penjual udah bener tapi di otak atik sama org gudang sampai ada yg beli iphone 16 pro max di ganti sama garam bayangin garam;1
gajelas emang tiktok saya rating 46 jadi 36 besoknya lagi turun jadi 28 kan aneh;-1
klu official dari kardus luarnya beda aja ada tulisanya di kelola oleh shopee kagak polosan gitu ;1
alhamdulillah saya beruntung berkelimpahan mudah menyenangkan rezeki lancar datang dari alloh dari berbagai arah yes horee ;1
btl;1
awal mula orang mulai belanja di shpe dan tokped;1
brpa kak;0
di offline di goreng harganya;1
mikir kidz;0
tergiur harga ;1
aku di posisi ini skrng kk ampek ampek bingung maju apa mundur;0
alhamdulillah tiap hari bisa makan;1
ok bang;0
iya sih aku juga pernah beli online tapi packing nya kardus dulu yg tulisanya lzd mall baru kardus hp nya;1
tiktok the best drpd toko sebelah;1
ini ulah oknum pengurus tiktok indonesia yang bikin system seperti ngatur rezeki orangsy udah buktikan kalo hari ini meledak dipastikan berikutnya surut seperti mereka ga rela kt banyak hasil dri situ dulu gada kek gini ini oknum pengurus periode sekarang;1
sama bang mana barang banyak ;1
bener pas corona usah omset suami ku sampe 2 × lipat bahkan lebih sekaran bisa ngasih uang jajan sama bisa makan sehari² aja udah alhamdulillah;1
tecno mh emng rapih bg suami ku 2 kli beli hp hari itu juga nympe ga berhari;1
ya begitulah kak ??;0
sy jg kak dah lebih setahun sy biarin aja dalam brp bulan laku 1 krn emang ga ada niat lagi jualan di tiktokjualan di shpe jg dah malasbiaya adm nya udah 22 lebih sy jual barang 180000 dapat untung kotor 1600 udah pasti rugi blum biaya packing dll mau up harga lagi official nya malah banting harga;1
harga ibox ga semua org bisa beli jamettt;1
ka kl barang yg dateng gk sesuai pesanan udah hub toko tp slow respon lbh dr satu hari pdhl barang tsrb urgen kl dikasih bintang 1 wajar gk;1
ya uda buat startup aplikasi toktok sendiri;1
